,1,2,3,4,5,6,7,8,9,10,11,12,
A,-36.04756466,-48.68528519,101.0350478,82.49607322,1109.512566,NA,NA,NA,NA,NA,NA,NA,450
B,-3.017748948,-24.56619701,-145.4117157,101.3306689,1107.813349,NA,NA,NA,NA,NA,NA,NA,450
C,175.8708314,150.2206797,121.3855902,353.7787044,NA,NA,NA,NA,NA,NA,NA,NA,450
D,27.05083914,63.79388271,35.22085923,285.3373118,NA,NA,NA,NA,NA,NA,NA,NA,450
E,32.92877352,67.88964506,-24.2823706,406.1863063,NA,NA,NA,NA,NA,NA,NA,NA,450
F,191.5064987,46.69327159,60.70250853,645.3814921,NA,NA,NA,NA,NA,NA,NA,NA,450
G,66.0916206,-19.95911348,42.39955517,562.6464221,NA,NA,NA,NA,NA,NA,NA,NA,450
H,-106.5061235,214.3163137,72.11087707,990.4928517,NA,NA,NA,NA,NA,NA,NA,NA,450
